id_passagem,cpf_cliente,id_voo,data,poltrona,classe,preco
P00122,20714569801,V0178,2025-05-03,12B,Executiva,1025.59
P00123,02937584683,V0368,2025-04-29,38A,Executiva,1152.8
P00124,92514830788,V0146,2025-04-23,37B,Executiva,787.91
P00125,51029384797,V0503,2025-05-04,3A,Econômica,509.36
P00126,32514098750,V0021,2025-04-25,34D,Econômica,598.56
P00127,46205317907,V0207,2025-04-13,9C,Econômica,1126.9
P00128,42730895132,V0890,2025-04-27,21A,Econômica,432.94
P00129,05642371916,V0940,2025-05-06,10A,Executiva,1164.5
P00130,53179240652,V0722,2025-04-16,43D,Econômica,602.9
P00131,01538942704,V0140,2025-04-25,11F,Executiva,1012.66
P00132,02765938474,V0499,2025-04-26,42C,Econômica,936.46
P00133,84753021904,V0711,2025-04-30,40C,Econômica,898.98
P00134,87035926186,V0180,2025-05-11,25C,Executiva,414.61
P00135,29017586303,V0002,2025-04-29,45E,Executiva,1065.68
P00136,89065372121,V0989,2025-05-01,37A,Econômica,842.15
P00137,86354079110,V0829,2025-05-06,40B,Econômica,1143.02
P00138,30246157844,V0340,2025-04-24,48A,Econômica,612.13
P00139,52461370907,V0172,2025-04-14,41A,Executiva,701.97
P00140,37426058956,V0215,2025-04-30,16F,Econômica,615.43
P00141,51387902695,V0111,2025-05-08,47A,Econômica,647.34
P00142,02864571307,V0430,2025-05-05,11D,Executiva,1093.59
P00143,31920854606,V0560,2025-04-22,25A,Executiva,1009.86
P00144,15902846315,V0667,2025-04-29,49F,Econômica,446.39
P00145,75638419039,V0819,2025-04-26,3C,Econômica,586.85
P00146,65127480930,V0108,2025-04-24,5C,Econômica,1099.14
P00147,49253018704,V0750,2025-04-30,5E,Econômica,604.16
P00148,46205317907,V0915,2025-04-22,31F,Econômica,688.19
P00149,98710534601,V0169,2025-04-24,39D,Econômica,348.2
P00150,78130492504,V0211,2025-04-28,13D,Executiva,894.54
P00151,74190865320,V0244,2025-04-15,7A,Executiva,814.59
P00152,37125908659,V0503,2025-04-25,10A,Executiva,303.43
P00153,61749023580,V0302,2025-04-30,43F,Executiva,479.71
P00154,35876140244,V0212,2025-05-02,11F,Executiva,1179.35
P00155,90241538750,V0865,2025-05-08,8C,Executiva,723.85
P00156,37194506270,V0677,2025-05-08,17A,Executiva,466.39
P00157,45623971016,V0391,2025-05-02,24B,Executiva,340.16
P00158,16872435062,V0477,2025-04-29,17B,Executiva,807.82
P00159,52106398433,V0771,2025-05-06,45F,Econômica,377.14
P00160,42907568167,V0828,2025-04-21,35D,Econômica,798.24
P00161,37125908659,V0397,2025-04-24,34D,Executiva,815.44
P00162,57634218090,V0488,2025-05-06,20A,Executiva,1112.5
P00163,36527190859,V0036,2025-04-21,33E,Econômica,408.25
P00164,84367921573,V0460,2025-04-26,12B,Econômica,1027.61
P00165,89570234105,V0044,2025-05-09,28A,Executiva,481.73
P00166,02947518667,V0643,2025-04-23,10E,Executiva,587.77
P00167,14938572079,V0937,2025-04-29,5A,Executiva,800.73
P00168,76930821586,V0334,2025-05-08,18E,Executiva,1125.45
P00169,17542389637,V0806,2025-05-02,45E,Executiva,401.27
P00170,41657209334,V0152,2025-04-19,37E,Econômica,1132.44
P00171,97162038530,V0799,2025-05-02,7C,Executiva,1090.1
P00172,23948051704,V0393,2025-05-06,42D,Executiva,333.72
P00173,08532946747,V0413,2025-04-22,10E,Executiva,334.9
P00174,04816739203,V0901,2025-05-03,22F,Econômica,344.36
P00175,16903542752,V0943,2025-05-01,18C,Econômica,604.08
P00176,40127653961,V0311,2025-04-26,20C,Executiva,1072.41
P00177,02396751859,V0101,2025-05-07,15B,Executiva,1176.8
P00178,03489267583,V0793,2025-04-27,21C,Executiva,844.48
P00179,35978240132,V0193,2025-04-23,29B,Executiva,966.85
P00180,96712380502,V0529,2025-04-19,24A,Econômica,359.06
P00181,95470213897,V0519,2025-04-13,26B,Econômica,456.36
P00182,89635274092,V0853,2025-05-04,13A,Econômica,329.76
P00183,65270981467,V0941,2025-05-04,24F,Econômica,546.58
P00184,39810647557,V0476,2025-04-29,33D,Econômica,913.06
P00185,48935720160,V0382,2025-05-07,32E,Executiva,459.83
P00186,20491537670,V0486,2025-05-04,38E,Executiva,609.82
P00187,90438621506,V0916,2025-04-12,17F,Econômica,556.56
P00188,54103792680,V0051,2025-05-06,11E,Econômica,1071.4
P00189,68307529140,V0231,2025-05-11,44B,Executiva,886.43
P00190,31205648933,V0021,2025-04-26,50F,Econômica,726.69
P00191,10267485344,V0663,2025-04-23,12E,Econômica,501.39
P00192,69487530193,V0825,2025-04-19,20F,Executiva,681.43
P00193,71540986276,V0873,2025-05-01,23D,Executiva,496.39
P00194,74210853607,V0694,2025-05-11,34E,Executiva,826.04
P00195,47806912576,V0524,2025-05-09,43C,Executiva,568.63
P00196,36784205910,V0494,2025-04-22,5C,Executiva,876.54
P00197,04739685256,V0284,2025-04-24,17F,Executiva,469.52
P00198,56237089438,V0784,2025-04-26,16A,Executiva,894.48
P00199,27438106969,V0144,2025-04-23,47A,Executiva,1197.72
P00200,60135249716,V0929,2025-05-02,27D,Executiva,963.06
P00201,97528130460,V0726,2025-05-10,37B,Executiva,953.89
P00202,54012937804,V0703,2025-04-28,35F,Executiva,1115.87
P00203,82471953050,V0368,2025-05-07,33C,Econômica,1056.57
P00204,18490567220,V0572,2025-04-13,12C,Econômica,723.7
P00205,69314270831,V0265,2025-04-29,47E,Econômica,1152.23
P00206,31265804753,V0344,2025-04-13,42A,Econômica,619.76
P00207,54032918732,V0893,2025-04-26,20D,Executiva,634.51
P00208,65031872462,V0302,2025-04-27,30A,Executiva,348.31
P00209,05249631851,V0598,2025-04-14,38E,Econômica,725.0
P00210,81792305460,V0513,2025-04-29,8F,Executiva,776.85
P00211,98170423678,V0056,2025-04-13,10B,Econômica,608.4
P00212,32576489109,V0915,2025-05-10,30B,Executiva,1076.15
P00213,80327561408,V0798,2025-04-20,6D,Executiva,867.93
P00214,98361257012,V0321,2025-05-07,41A,Econômica,706.85
P00215,61395472025,V0780,2025-04-25,50B,Econômica,740.62
P00216,78403625162,V0799,2025-05-01,6B,Executiva,870.14
P00217,49620573161,V0440,2025-05-04,31D,Econômica,333.95
P00218,90548362106,V0749,2025-04-20,24A,Executiva,981.16
P00219,23185604717,V0196,2025-04-12,2F,Econômica,864.02
P00220,96538120415,V0232,2025-04-14,45C,Executiva,416.04
P00221,12048379613,V0516,2025-05-04,38C,Econômica,358.76
P00222,62458390170,V0306,2025-04-21,19D,Executiva,690.3
P00223,96351078466,V0138,2025-04-25,22D,Executiva,975.1
P00224,85973210405,V0971,2025-04-20,26A,Econômica,501.89
P00225,70451283988,V0217,2025-05-11,47A,Econômica,410.85
P00226,85210973603,V0667,2025-04-21,3D,Executiva,994.12
P00227,62380954151,V0050,2025-05-09,39A,Econômica,888.21
P00228,36589742065,V0050,2025-04-14,45A,Executiva,699.88
P00229,50367294125,V0561,2025-05-04,17D,Econômica,484.95
P00230,98367214528,V0646,2025-05-03,1C,Executiva,895.5
P00231,01847659357,V0533,2025-04-23,18E,Econômica,676.94
P00232,48652930783,V0108,2025-05-05,33F,Econômica,554.44
P00233,21069543870,V0109,2025-04-18,32B,Econômica,1000.16
P00234,72691085368,V0536,2025-05-10,13C,Executiva,565.82
P00235,89421563042,V0562,2025-04-27,32B,Executiva,597.54
P00236,29401638713,V0014,2025-04-25,43A,Econômica,1051.71
P00237,64852931089,V0506,2025-04-28,10A,Econômica,951.21
P00238,54102736999,V0927,2025-04-12,17F,Econômica,711.08
P00239,69875421049,V0271,2025-04-23,30A,Econômica,1031.86
P00240,29480176378,V0041,2025-05-09,19C,Executiva,683.4
P00241,75319064225,V0098,2025-04-13,49A,Econômica,1066.8
P00242,62149857049,V0663,2025-04-15,11C,Executiva,1105.07
P00243,40781596300,V0637,2025-05-02,18F,Econômica,635.36
P00244,32014678553,V0188,2025-04-18,8D,Executiva,1166.08
P00245,89157340250,V0856,2025-04-28,25F,Executiva,1019.91
P00246,57693421025,V0908,2025-05-09,11A,Econômica,926.55
P00247,34258196746,V0966,2025-04-29,11A,Executiva,1120.1
P00248,53769840283,V0822,2025-04-17,37F,Executiva,463.13
P00249,12387594088,V0798,2025-04-29,23E,Econômica,1076.32
P00250,47063812580,V0859,2025-04-13,47B,Executiva,1128.36
P00251,94760352856,V0909,2025-04-18,27D,Econômica,357.0
P00252,82067951467,V0322,2025-04-12,1F,Econômica,1180.11
P00253,64852931089,V0895,2025-04-26,22E,Econômica,689.56
P00254,14938572079,V0255,2025-04-28,31C,Executiva,433.79
P00255,37540618957,V0572,2025-04-13,40A,Econômica,879.06
P00256,68102479396,V0518,2025-04-20,31D,Econômica,367.38
P00257,39261087469,V0329,2025-05-09,16C,Executiva,345.32
P00258,25741690343,V0564,2025-04-16,42D,Executiva,1035.39
P00259,04382175607,V0471,2025-04-27,29E,Executiva,379.22
P00260,60214975380,V0458,2025-04-22,21A,Executiva,970.72
P00261,95012768302,V0106,2025-04-28,26D,Econômica,801.42
P00262,56927381473,V0846,2025-04-23,6E,Executiva,1101.1
P00263,84753021904,V0212,2025-04-15,42F,Executiva,1155.32
P00264,96321504815,V0846,2025-04-18,4B,Executiva,598.78
P00265,08365219433,V0635,2025-05-04,39D,Executiva,944.32
P00266,75298041620,V0100,2025-05-10,49F,Econômica,301.98
P00267,03417958288,V0850,2025-04-24,41C,Executiva,931.89
P00268,62458390170,V0919,2025-04-23,11D,Econômica,1039.65
P00269,62451039752,V0739,2025-04-22,27A,Executiva,849.77
P00270,51270634925,V0124,2025-05-05,26B,Executiva,1042.1
P00271,42870593104,V0734,2025-04-28,22A,Executiva,341.85
P00272,36491587010,V0858,2025-04-21,44E,Econômica,994.93
P00273,69082437104,V0469,2025-04-15,43E,Econômica,1167.47
P00274,21089456794,V0544,2025-04-16,48A,Executiva,1054.93
P00275,53769840283,V0947,2025-04-17,33B,Econômica,957.45
P00276,37956214025,V0107,2025-04-18,25F,Executiva,753.7
P00277,70529638177,V0429,2025-04-23,39F,Econômica,546.24
P00278,30981426778,V0352,2025-04-29,19D,Econômica,424.36
P00279,91563082489,V0717,2025-05-09,48E,Executiva,1058.77
P00280,86320749547,V0882,2025-04-13,21F,Econômica,480.8
P00281,86743195219,V0732,2025-04-25,19F,Executiva,1129.07
P00282,10267485344,V0728,2025-04-20,42B,Executiva,939.32
P00283,17365984066,V0361,2025-05-01,36D,Executiva,906.82
P00284,23190457832,V0862,2025-04-29,35C,Executiva,1027.47
P00285,74358920683,V0110,2025-04-20,2D,Econômica,347.76
P00286,40628153970,V0205,2025-05-04,18B,Executiva,915.05
P00287,80235946133,V0860,2025-04-24,4F,Executiva,483.6
P00288,32415906743,V0034,2025-04-19,23D,Econômica,854.5
P00289,02319548670,V0758,2025-05-08,36B,Executiva,513.84
P00290,21069543870,V0816,2025-05-03,45C,Econômica,1133.84
P00291,65072184994,V0427,2025-04-30,44C,Econômica,311.67
P00292,19072834631,V0208,2025-04-20,40D,Econômica,1120.34
P00293,05642371916,V0727,2025-04-28,42C,Econômica,998.53
P00294,61304789500,V0199,2025-04-17,19D,Econômica,1185.11
P00295,14065789320,V0192,2025-04-14,12F,Econômica,639.48
P00296,47812695328,V0286,2025-05-07,36C,Econômica,444.84
P00297,49238710597,V0262,2025-04-29,1C,Executiva,938.72
P00298,98267543155,V0041,2025-05-06,10C,Econômica,996.29
P00299,56241397052,V0631,2025-04-22,43C,Executiva,1010.92
P00300,16739840539,V0367,2025-05-07,5F,Executiva,772.86
P00301,28610543951,V0189,2025-04-21,34A,Econômica,674.34
P00302,07932581460,V0414,2025-05-08,6C,Econômica,1095.06
P00303,62149857049,V0340,2025-04-28,22C,Executiva,496.6
P00304,82591463719,V0634,2025-04-28,34D,Econômica,403.25
P00305,61250498767,V0457,2025-04-26,16F,Econômica,1163.01
P00306,42169857346,V0907,2025-04-28,21D,Econômica,647.29
P00307,86109247340,V0742,2025-04-15,19A,Executiva,762.88
P00308,26148379546,V0457,2025-04-24,32A,Executiva,1108.45
P00309,62598340710,V0329,2025-05-02,33A,Econômica,450.66
P00310,28610543951,V0792,2025-04-13,35E,Econômica,864.24
P00311,19834570279,V0687,2025-05-11,41B,Executiva,1052.1
P00312,40632851970,V0551,2025-04-15,45F,Executiva,881.91
P00313,52603741853,V0074,2025-05-10,48F,Econômica,321.38
P00314,29315640870,V0340,2025-04-23,3A,Econômica,348.84
P00315,02154768911,V0258,2025-04-27,36A,Econômica,1119.89
P00316,75048192630,V0398,2025-04-16,29F,Executiva,689.72
P00317,30862145708,V0399,2025-04-15,44A,Econômica,877.28
P00318,05347982179,V0065,2025-05-05,49F,Econômica,930.79
P00319,80574693238,V0367,2025-04-26,33A,Executiva,1008.2
P00320,70156349299,V0622,2025-04-28,6C,Executiva,643.27
P00321,52761489020,V0677,2025-04-29,2D,Econômica,780.12
P00322,56207149343,V0765,2025-04-27,26E,Executiva,1164.12
P00323,47360281571,V0306,2025-04-22,44F,Executiva,1161.65
P00324,45831762017,V0567,2025-05-04,36B,Econômica,337.6
P00325,49613785000,V0611,2025-04-13,26E,Econômica,574.22
P00326,86293510712,V0760,2025-05-02,47C,Econômica,671.39
P00327,41539278646,V0872,2025-04-18,33B,Econômica,465.59
P00328,48067321507,V0855,2025-05-05,17B,Econômica,463.22
P00329,41739625846,V0581,2025-04-21,4E,Executiva,880.21
P00330,80574693238,V0298,2025-05-08,43A,Executiva,388.38
P00331,12836954051,V0595,2025-04-17,32C,Executiva,415.39
P00332,89235647029,V0241,2025-05-02,7C,Econômica,1110.11
P00333,71245309897,V0498,2025-05-04,29C,Executiva,924.11
P00334,59623147007,V0580,2025-04-21,37C,Executiva,1162.79
P00335,59678324083,V0005,2025-04-24,21B,Econômica,940.98
P00336,19630845270,V0447,2025-05-03,18C,Econômica,911.62
P00337,78130492504,V0899,2025-04-24,31D,Executiva,622.87
P00338,50173298460,V0499,2025-04-30,36A,Econômica,881.0
P00339,17560438920,V0862,2025-04-16,18B,Econômica,536.91
P00340,08941375223,V0642,2025-04-18,5F,Econômica,1102.89
P00341,26403817922,V0520,2025-04-16,41A,Executiva,992.28
P00342,92740861567,V0929,2025-04-27,3E,Executiva,789.12
P00343,04217839669,V0484,2025-05-05,42B,Executiva,653.25
P00344,05918374639,V0791,2025-04-30,38F,Executiva,420.49
P00345,02568174994,V0523,2025-05-02,6D,Executiva,751.95
P00346,01847659357,V0245,2025-04-20,40F,Econômica,981.49
P00347,08231597441,V0457,2025-05-02,11B,Econômica,962.33
P00348,41796532819,V0962,2025-04-24,23A,Econômica,985.33
P00349,40168972549,V0065,2025-04-16,17C,Econômica,338.53
P00350,01845239741,V0531,2025-04-20,24D,Executiva,1126.11
P00351,67541398039,V0048,2025-05-02,3F,Executiva,392.9
P00352,19507643893,V0534,2025-04-13,41C,Executiva,820.77
P00353,32576489109,V0179,2025-05-06,25F,Executiva,628.77
P00354,98710534601,V0920,2025-04-24,5E,Executiva,638.7
P00355,37641985084,V0229,2025-05-07,34D,Executiva,1035.51
P00356,71983640557,V0499,2025-04-17,31E,Econômica,751.65
P00357,09587423160,V0451,2025-05-06,11B,Econômica,763.09
P00358,62073815995,V0217,2025-05-03,10B,Econômica,626.0
P00359,29315640870,V0837,2025-05-01,8F,Econômica,673.15
P00360,49685123098,V0738,2025-04-19,8D,Executiva,731.12
P00361,48531976219,V0166,2025-04-12,42D,Econômica,519.3
P00362,20417896549,V0588,2025-05-10,38B,Econômica,866.59
P00363,89421563042,V0913,2025-04-14,37B,Econômica,449.71
P00364,83706154900,V0185,2025-05-02,34D,Econômica,1090.66
P00365,94176082585,V0678,2025-05-09,19A,Econômica,704.28
P00366,36098517401,V0889,2025-04-23,31B,Econômica,1047.33
P00367,26510379406,V0147,2025-04-16,38B,Executiva,450.95
P00368,98367214528,V0351,2025-05-11,30E,Econômica,506.83
P00369,61459732006,V0136,2025-05-02,7A,Econômica,770.44
P00370,40819273678,V0517,2025-04-23,44D,Econômica,844.96
P00371,98361257012,V0488,2025-04-12,40E,Econômica,1089.98
P00372,96781025449,V0516,2025-04-23,49A,Econômica,734.02
P00373,54368972074,V0924,2025-05-11,39E,Econômica,1107.27
P00374,64805397292,V0695,2025-04-28,42D,Executiva,633.34
P00375,73541268964,V0715,2025-04-15,34D,Econômica,1144.58
P00376,74185630271,V0809,2025-05-03,50D,Executiva,830.14
P00377,92058417305,V0930,2025-05-05,49F,Econômica,682.94
P00378,28475619002,V0489,2025-04-14,50B,Econômica,554.94
P00379,18490567220,V0557,2025-04-27,27C,Econômica,304.92
P00380,21876054344,V0809,2025-04-28,1E,Econômica,767.79
P00381,09721386413,V0671,2025-04-13,14F,Executiva,667.96
P00382,06571938286,V0159,2025-04-28,28F,Executiva,535.17
P00383,13265049752,V0434,2025-05-11,37C,Executiva,1192.62
P00384,30287961478,V0774,2025-05-10,14D,Executiva,460.85
P00385,85036291433,V0569,2025-05-08,31C,Executiva,819.89
P00386,72580931414,V0723,2025-04-18,26F,Econômica,1069.5
P00387,76021594894,V0122,2025-04-18,48B,Executiva,1004.8
P00388,29357086447,V0166,2025-05-02,7B,Executiva,1007.47
P00389,17346098501,V0564,2025-05-03,40F,Econômica,444.66
P00390,61304789500,V0652,2025-04-23,1A,Econômica,724.5
P00391,38472095665,V0446,2025-04-16,6A,Executiva,499.59
P00392,71385429682,V0624,2025-04-20,3F,Executiva,1137.62
P00393,69235810442,V0629,2025-04-22,42E,Executiva,940.45
P00394,79341852005,V0059,2025-04-25,50B,Executiva,695.07
P00395,24371805671,V0871,2025-04-23,43E,Executiva,475.27
P00396,17392408631,V0614,2025-05-07,33E,Econômica,853.67
P00397,83714652035,V0037,2025-05-08,24B,Econômica,1178.08
P00398,06458731280,V0283,2025-05-07,50D,Executiva,902.7
P00399,38427906196,V0601,2025-04-13,13E,Econômica,963.23
P00400,89607523474,V0942,2025-04-26,6E,Executiva,953.52
P00401,85036291433,V0937,2025-05-06,38C,Executiva,1166.96
P00402,61089453205,V0232,2025-04-28,39B,Executiva,1136.74
P00403,32945708647,V0005,2025-04-16,17B,Executiva,755.61
P00404,85036291433,V0075,2025-04-26,33C,Executiva,1152.31
P00405,60371894204,V0526,2025-04-19,17E,Executiva,924.77
P00406,97132468537,V0387,2025-04-14,37D,Econômica,981.73
P00407,83917054639,V0795,2025-04-19,30F,Executiva,1106.87
P00408,04739685256,V0029,2025-04-29,31A,Executiva,360.8
P00409,36491587010,V0808,2025-05-11,15F,Econômica,1020.15
P00410,12638975095,V0979,2025-04-23,23E,Econômica,930.74
P00411,43728196509,V0255,2025-05-01,19A,Executiva,906.33
P00412,39285160786,V0351,2025-04-26,5E,Econômica,728.9
P00413,60371482526,V0224,2025-04-29,37C,Econômica,1152.41
P00414,40716529858,V0953,2025-04-14,13D,Econômica,511.38
P00415,48935720160,V0894,2025-04-19,17B,Econômica,482.49
P00416,42039687556,V0857,2025-05-08,40C,Econômica,1001.04
P00417,41562809776,V0943,2025-04-20,6F,Executiva,852.44
P00418,61857943066,V0878,2025-04-23,35A,Executiva,634.08
P00419,84732961509,V0505,2025-04-17,37C,Executiva,464.58
P00420,61857943066,V0938,2025-04-23,33C,Executiva,499.88
P00421,42963187564,V0132,2025-04-24,4E,Executiva,730.49
P00422,86109247340,V0034,2025-04-18,33C,Executiva,1074.36
P00423,04236159716,V0179,2025-05-04,30A,Executiva,584.09
P00424,37291450616,V0013,2025-04-29,44B,Executiva,822.91
P00425,58239016405,V0371,2025-04-30,40C,Econômica,793.71
P00426,18763925419,V0276,2025-05-03,31E,Executiva,629.33
P00427,60214975380,V0435,2025-04-30,14D,Executiva,628.57
P00428,69235810442,V0287,2025-05-04,29B,Econômica,1181.35
P00429,98367214528,V0235,2025-04-20,7F,Executiva,1023.68
P00430,54713602906,V0443,2025-05-11,25B,Econômica,1020.03
P00431,87210945350,V0154,2025-05-11,31A,Econômica,679.37
P00432,96127853095,V0915,2025-04-15,41E,Executiva,1006.8
